archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,duplicateDetails,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
tree,temperature+moisture,N/A,europe_fran014,FE23_europe_fran014,N/A,2100.0,45.21666717529297,6.683333396911621,L'OrgereB,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran014.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_fran016,FE23_europe_fran016,N/A,1900.0,44.266666412353516,6.566666603088379,ColD'Allos,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran016.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_fran019,FE23_europe_fran019,N/A,1950.0,45.266666412353516,6.916666507720947,MountCenis,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran019.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_fran024,FE23_europe_fran024,N/A,1700.0,42.599998474121094,2.066666603088379,Formigueres,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran024.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,ABAL,standardized_anomalies,CE
tree,moisture,N/A,europe_fran032w,FE23_europe_fran032w,N/A,1080.0,48.56666564941406,8.0,"Aubure(F),EU-Pr.",https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran032w.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schweingruber,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_fran039,FE23_europe_fran039,N/A,1100.0,46.63333511352539,6.083333492279053,MontRisoux,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran039.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: McCormick,TRW,PCAB,standardized_anomalies,CE
tree,moisture,N/A,europe_fran2,FE23_europe_fran2,N/A,1000.0,43.31666564941406,5.733333110809326,Ste.Baume(summit),https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran2.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_fran5,FE23_europe_fran5,N/A,1100.0,44.36666488647461,5.616666793823242,BoisDeVanclusie,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran5.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,temperature+moisture,N/A,europe_fran6,FE23_europe_fran6,N/A,750.0,43.31666564941406,5.733333110809326,Ste.Baume(forest),https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran6.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_fran8,FE23_europe_fran8,N/A,1400.0,44.16666793823242,5.25,Mt.Ventoux(facingNorth),https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran8.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_fran9,FE23_europe_fran9,N/A,1600.0,44.16666793823242,5.25,Mt.Ventoux(facingSouth),https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/fran9.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Tessier,TRW,PISY,standardized_anomalies,CE
tree,moisture,N/A,europe_geor001,FE23_europe_geor001,N/A,2000.0,42.0,45.16666793823242,BatsaraForest,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/geor001.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Kuniholm,TRW,TABA,standardized_anomalies,CE
tree,moisture,N/A,europe_germ005,FE23_europe_germ005,N/A,291.0,52.18333435058594,9.283333778381348,Hessisch-Oldendorf,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ005.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schmidt,TRW,QURO,standardized_anomalies,CE
tree,moisture,N/A,europe_germ006,FE23_europe_germ006,N/A,210.0,52.11666488647461,9.199999809265137,Hesslingen,https://www.ncei.noaa.gov/pub/data/paleo/treering/measurements/europe/germ006.rwl,FE23 (Breitenmoser et al. (2014)),Investigator: Schmidt,TRW,QURO,standardized_anomalies,CE
