datasetId,archiveType,dataSetName,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,interpretation_direction,interpretation_seasonality,interpretation_variable,interpretation_variableDetail,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,paleoData_variableName,yearUnits
iso2k_1480,LakeSediment,LS09SAJU,657.0,0.8999999761581421,-89.4832992553711,El Junco Lake,N/A,N/A,N/A,N/A,nan,Iso2k v1.1.2,; archiveType changed  was originally Lake sediment (LS),dD,nan,permil,d2H,CE
iso2k_1481,GlacierIce,IC11DILO,1250.0,78.86000061035156,17.420000076293945,Lomonosovfonna,positive,Dec-Feb,temperature,air@surface,https://www.ncdc.noaa.gov/paleo/study/22541,Iso2k v1.1.2,; archiveType changed  was originally Ice core (IC),d18O,nan,permil,d18O,CE
iso2k_1488,LakeSediment,LS15OEPO,113.0,-51.95000076293945,-70.37999725341797,Laguna Potrok Aike,increase,N/A,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: lake, winds in eastern Patagonia",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Lake sediment (LS),d18O,nan,permil,d18O,CE
iso2k_1495,Speleothem,SP09FLTR,500.0,41.41600036621094,31.93400001525879,"Sofular Cave, Turkey",N/A,N/A,N/A,N/A,https://www.ncdc.noaa.gov/paleo/study/8637,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_1498,Coral,CO04LIRA,-18.299999237060547,-21.23780059814453,-159.8278045654297,"Rarotonga, Cook Islands, South Pacific",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/6089,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1500,Coral,CO04LIRA,-18.299999237060547,-21.23780059814453,-159.8278045654297,"Rarotonga, Cook Islands, South Pacific",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/6089,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1502,Coral,CO04LIRA,-18.299999237060547,-21.23780059814453,-159.8278045654297,"Rarotonga, Cook Islands, South Pacific",N/A,N/A,temperature,sea surface,https://www.ncdc.noaa.gov/paleo/study/6089,Iso2k v1.1.2,; archiveType changed - was originally Coral (CO),d18O,nan,permil,d18O,CE
iso2k_1504,Speleothem,SP12NOBR,650.0,-12.369999885559082,-41.56999969482422,"Diva de Maura Cave, Brazil",negative,Annual,moisture,"Original interpretation_variable: precipitation, interpretation_variableDetail: SAM",https://www.ncdc.noaa.gov/paleo/study/13670,Iso2k v1.1.2,; archiveType changed - was originally Speleothem (SP); archiveType changed - was originally Speleothem (SP),d18O,nan,permil,d18O,CE
iso2k_1519,MarineSediment,MS07SWGG,-1295.0,2.5,9.380000114440918,"Gulf of Guinea, EEA",decrease,N/A,N/A,"Original interpretation_variable: streamflow, interpretation_variableDetail: N/A",https://www.ncdc.noaa.gov/paleo/study/5596,Iso2k v1.1.2,; archiveType changed - was originally Marine sediment (MS),dD,nan,permil,d2H,CE
iso2k_1525,Wood,TR12SAMU,1850.0,21.670000076293945,104.0999984741211,"Mu Cang Chai, Northern Vietnam",negative,May-Oct,moisture,"Original interpretation_variable: effectivePrecipitation, interpretation_variableDetail: Seasonal",this compilation,Iso2k v1.1.2,; archiveType changed - was originally Tree ring cellulose (TR); archiveType changed - was originally Tree ring cellulose,d18O,nan,permil,d18O,CE
