archiveType,climateInterpretation_variable,climateInterpretation_variableDetail,dataSetName,datasetId,geo_meanElev,geo_meanLat,geo_meanLon,geo_siteName,originalDataURL,originalDatabase,paleoData_notes,paleoData_proxy,paleoData_sensorSpecies,paleoData_units,yearUnits
coral,temperature,sea@surface,Ocean2kHR-PacificVanuatuKilbourne2004,pages2k_Ocean2kHR_175,-1.5,-15.7,167.2,"Malo Channel, Espiritu Santo Island, Vanuatu",http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:990875010763301::::P1_STUDY_ID:1925,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally subannual; paleoData_variableName changed - was originally Sr_Ca,Sr/Ca,Porites lutea,mmol/mol,CE
coral,temperature,sea@surface,Ocean2kHR-PacificVanuatuKilbourne2004,pages2k_Ocean2kHR_174,-1.5,-15.7,167.2,"Malo Channel, Espiritu Santo Island, Vanuatu",http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:990875010763301::::P1_STUDY_ID:1925,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally subannual,d18O,Porites lutea,permil,CE
tree,temperature,air@surface,Eur-NScan.Esper.2012,pages2k_Eur_014,300.0,68.0,25.0,Northern Scandinavia,http://www.ncdc.noaa.gov/paleo/study/1003406,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,N/A,N/A,CE
tree,temperature,air@surface,NAm-FRE,pages2k_NAm_016,3292.0,43.0,-109.6,Fremont Glacier,https://doi.org/10.6084/m9.figshare.c.3285353.v2,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; climateInterpretation_seasonality changed - was originally Annual,TRW,PIAL,N/A,CE
coral,temperature,sea@surface,Ocean2kHR-PacificNurhati2011,pages2k_Ocean2kHR_161,-10.0,5.87,-162.13,Palmyra,"http://hurricane.ncdc.noaa.gov/pls/paleox/f?p=519:1:1355582511284701::::P1_STUDY_ID:8609,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/coral/east_pacific/palmyra2011.txt",PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),; paleoData_variableName changed - was originally Sr_Ca; climateInterpretation_seasonality changed - was originally monthly; paleoData_variableName changed - was originally Sr_Ca,Sr/Ca,lutea,mmol/mol,CE
tree,temperature,air@surface,NAm-cana097,pages2k_NAm_1240,2050.0,51.8,-116.2,Peyto Lake,https://www.ncdc.noaa.gov/paleo/study/4584,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCEN,N/A,CE
tree,temperature,air@surface,Asia-13YET,pages2k_Asia_082,3500.0,28.03,98.98,CHIN040,https://www.ncdc.noaa.gov/paleo/study/14909,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-cana171,pages2k_NAm_1492,2000.0,52.3,-117.3,Athabasca Glacier,https://www.ncdc.noaa.gov/paleo/study/4319,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,MXD,PCEN,N/A,CE
tree,temperature,air@surface,Asia-MCCHFH,pages2k_Asia_228,3600.0,21.67,104.1,MCCHFH,https://www.ncdc.noaa.gov/paleo/study/15352,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,N/A,N/A,CE
tree,temperature,air@surface,NAm-wa071,pages2k_NAm_3400,1925.0,48.7,-120.7,Harts Pass N1,https://www.ncdc.noaa.gov/paleo/study/4127,PAGES2k v2.0.0 (Ocn_103 updated with Dee et al. 2020),N/A,TRW,PCEN,N/A,CE
