index 1,index 2,ID 1,ID 2,correlation,distance (km)
323,4321,pages2k_960,iso2k_641,1.0,1.4788881660628725
332,3594,pages2k_982,FE23_northamerica_usa_or042,0.9964512838580512,4.592357698872727
337,4322,pages2k_1004,iso2k_644,1.0,0.0
343,2862,pages2k_1026,FE23_northamerica_usa_az553,0.989435703033374,3.706446234061719
348,4432,pages2k_1048,iso2k_1212,0.9999999999444483,0.08120329462182123
357,3374,pages2k_1089,FE23_northamerica_usa_mt112,0.9906780912896159,1.3032489760048571
357,3375,pages2k_1089,FE23_northamerica_usa_mt113,0.8759857906162318,1.3032489760048571
364,4407,pages2k_1108,iso2k_1060,1.0,0.0
367,1478,pages2k_1116,FE23_northamerica_canada_cana170w,0.9012973226223439,2.963034008750589
375,3974,pages2k_1147,ch2k_DA06MAF01_78,1.0,0.0
375,3980,pages2k_1147,ch2k_DA06MAF02_104,1.0,0.0
375,4546,pages2k_1147,iso2k_1748,1.0,0.0
378,379,pages2k_1153,pages2k_1156,0.9967946398784733,0.0
378,381,pages2k_1153,pages2k_1160,0.9969118556506823,0.0
379,381,pages2k_1156,pages2k_1160,1.0,0.0
398,3102,pages2k_1209,FE23_northamerica_usa_co553,0.9848164514971338,4.686190390758007
409,1419,pages2k_1252,FE23_northamerica_canada_cana096,0.9976191515076486,5.559669351093426
414,4509,pages2k_1274,iso2k_1577,1.0,0.0
420,4351,pages2k_1293,iso2k_821,0.9999999993592802,0.0
428,3938,pages2k_1325,FE23_northamerica_usa_wy030,0.9841375865267528,4.634071826744492
436,3953,pages2k_1360,ch2k_UR00MAI01_22,1.0,0.0
436,4189,pages2k_1360,iso2k_94,0.999999993382913,7.450067481225913
436,4190,pages2k_1360,iso2k_98,0.999999993382913,7.450067481225913
437,438,pages2k_1362,pages2k_1365,0.9992389529344313,0.0
439,4516,pages2k_1370,iso2k_1619,1.0,0.0
451,1435,pages2k_1420,FE23_northamerica_canada_cana111,0.9185079638747947,2.210833453585409
456,457,pages2k_1442,pages2k_1444,1.0,0.0
469,517,pages2k_1488,pages2k_1628,0.9999312398195644,0.0
469,3965,pages2k_1488,ch2k_NU11PAL01_52,0.9992710430546085,0.4697858835846662
469,4283,pages2k_1488,iso2k_505,0.9976024758754877,0.0
469,4309,pages2k_1488,iso2k_579,1.0,0.0
470,3966,pages2k_1490,ch2k_NU11PAL01_54,0.999992275602027,0.4697858835846662
471,4308,pages2k_1491,iso2k_575,1.0,0.0
474,4588,pages2k_1497,iso2k_1885,1.0,0.0
477,479,pages2k_1515,pages2k_1519,1.0,0.0
480,481,pages2k_1520,pages2k_1522,1.0,0.0
490,4223,pages2k_1547,iso2k_259,1.0,0.0
499,1539,pages2k_1566,FE23_northamerica_canada_cana231,0.9977556148240536,4.390485654920984
508,2981,pages2k_1605,FE23_northamerica_usa_ca606,0.9693885470026882,3.985226443144479
512,514,pages2k_1619,pages2k_1623,1.0,0.0
517,3965,pages2k_1628,ch2k_NU11PAL01_52,0.9999312398195646,0.4697858835846662
517,4283,pages2k_1628,iso2k_505,0.9973624471178902,0.0
517,4309,pages2k_1628,iso2k_579,0.9999312398195646,0.0
519,3857,pages2k_1636,FE23_northamerica_usa_wa081,0.9980630247518526,6.762315219649745
533,534,pages2k_1686,pages2k_1688,1.0,0.0
536,2248,pages2k_1692,FE23_asia_mong012,0.981578554195544,1.040938228538874
538,4031,pages2k_1703,ch2k_MO06PED01_226,1.0,0.1809429642245807
538,4317,pages2k_1703,iso2k_629,1.0,1.1119762877766939
543,4331,pages2k_1712,iso2k_715,1.0,1.1553943531955169
547,4510,pages2k_1720,iso2k_1579,0.9999999995576067,0.0
553,3880,pages2k_1741,FE23_northamerica_usa_wa104,0.9933646920496347,3.706446234061719
555,4579,pages2k_1750,iso2k_1856,1.0,1.818967049399386
555,4795,pages2k_1750,sisal_294.0_194,1.0,1.8290844982587682
561,4017,pages2k_1771,ch2k_TU01LAI01_192,0.9999999999999999,0.033845071807101175
572,3268,pages2k_1804,FE23_northamerica_usa_me010,0.9575116284079646,4.545169326471252
585,4039,pages2k_1859,ch2k_HE10GUA01_244,0.9999993553490845,0.0
585,4542,pages2k_1859,iso2k_1735,0.9999999953474713,0.0
586,4040,pages2k_1861,ch2k_HE10GUA01_246,0.9999903684972697,0.0
591,2650,pages2k_1880,FE23_northamerica_usa_ak060,0.9777961919437125,2.9785411732486518
594,595,pages2k_1891,pages2k_1893,0.9999999999999998,0.0
604,4192,pages2k_1918,iso2k_102,1.0,0.0
605,606,pages2k_1920,pages2k_1923,0.9983731192234753,0.0
