"site_id","entity_id","entity_name","entity_status","corresponding_current","persist_id","depth_ref","geology","rock_age","wokam","vegetation_type","land_use","copernicus_lcc","cover_type","cover_thickness","host_rock_trace_elements","drip_water_trace_elements","distance_entrance","speleothem_type","drip_type","drip_height","d13C","d18O","iso_std","d18O_water_equilibrium","d18O_dripwater_carbonate_difference","organics","fluid_inclusions","mineralogy_petrology_fabric","clumped_isotopes","noble_gas_temperatures","C14","ODL","Sr_Ca","Sr_Ca_method","Sr_Ca_std","Sr_Ca_downsampled","Sr_Ca_downsampling_method","Mg_Ca","Mg_Ca_method","Mg_Ca_std","Mg_Ca_downsampled","Mg_Ca_downsampling_method","Ba_Ca","Ba_Ca_method","Ba_Ca_std","Ba_Ca_downsampled","Ba_Ca_downsampling_method","U_Ca","U_Ca_method","U_Ca_std","U_Ca_downsampled","U_Ca_downsampling_method","P_Ca","P_Ca_method","P_Ca_std","P_Ca_downsampled","P_Ca_downsampling_method","Sr_isotopes","Sr_isotopes_method","Sr_isotopes_std","trace_elements_datafile","trace_elements_metadatafile","cave_map","entity_scan","contact","data_DOI_URL"
313,773,"HLK2","current",NA,"313-HLK2","from top","limestone","Devonian",NA,"deciduous","mixed (see notes)","open forest, other","thick",NA,"yes","yes",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","yes","LA-ICP-MS","other (see notes)","Yes-author downsampled","Binned average","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"yes","no","yes","yes","Annabel Wolf",NA
313,774,"NG01","current",NA,"313-NG01","from top","limestone","Devonian",NA,"deciduous","mixed (see notes)","open forest, other","thick",NA,"yes","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"yes","no","no","no","no","no","no","no",NA,NA,NA,NA,"yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","no",NA,NA,NA,NA,"yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","no",NA,NA,"yes","no","yes","yes","Annabel Wolf",NA
313,775,"TV1_2021","current","776","313-TV1","from top","limestone","Devonian",NA,"deciduous","mixed (see notes)","open forest, other","thick",NA,"yes","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"yes","LA-ICP-MS","other (see notes)","Yes-SISAL downsampled","Binned average","no",NA,NA,"yes","no","yes","yes","Annabel Wolf",NA
313,776,"TV1_2020","current","775","313-TV1","from top","limestone","Devonian",NA,"deciduous","mixed (see notes)","open forest, other","thick",NA,"yes","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","yes","unknown","other (see notes)","No-not applicable",NA,"yes","LA-ICP-MS","other (see notes)","No-not applicable",NA,"yes","LA-ICP-MS","other (see notes)","No-not applicable",NA,"no",NA,NA,NA,NA,"yes","LA-ICP-MS","other (see notes)","No-not applicable",NA,"no",NA,NA,"yes","no","yes","yes","Annabel Wolf",NA
314,777,"Herolds_bay_composite","current",NA,"314-HEROLDSBAY-COMP","not applicable","other (see notes)","Pleistocene",NA,"shrubland","limited or no use","closed forest, other","thick",NA,"no","no",NA,"composite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","no","Kerstin Braun",NA
314,778,"162520","current",NA,"314-162520","from top","other (see notes)","Pleistocene",NA,"shrubland","limited or no use","closed forest, other","thick",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","yes","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Kerstin Braun",NA
314,779,"162527-1","current",NA,"314-1625271","from top","other (see notes)","Pleistocene",NA,"shrubland","limited or no use","closed forest, other","thick",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Kerstin Braun",NA
314,780,"162528","current",NA,"314-162528","from top","other (see notes)","Pleistocene",NA,"shrubland","limited or no use","closed forest, other","thick",NA,"no","no",NA,"flowstone","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Kerstin Braun",NA
314,781,"162527-2","current",NA,"314-1625272","from top","other (see notes)","Pleistocene",NA,"shrubland","limited or no use","closed forest, other","thick",NA,"no","no",NA,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"no","no","no","no","no","no","no","no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no",NA,"no","yes","Kerstin Braun",NA
315,782,"HC2","current",NA,"315-HC2","from top","dolomite limestone","Ordovician","continuous carbonate","mixed (see notes)","concrete and built up","herbaceous vegetation","thin",10,"unknown","unknown",60,"stalagmite","unknown",NA,"yes","yes","Vienna-PDB","unknown",NA,"unknown","unknown","unknown","unknown","unknown","unknown","unknown","yes","other (see notes)","unknown","No-not applicable",NA,"yes","other (see notes)","unknown","No-not applicable",NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,NA,NA,"no",NA,NA,"no","no","yes","yes","Nikita Kaushal","https://www.ncei.noaa.gov/access/paleo-search/study/31535"
