"site_id","site_name","latitude","longitude","elevation","monitoring"
115,"Hölloch im Mahdtal",47.3781,10.1506,1240,"yes"
116,"Bukit Assam cave",4.03,114.8,150,"unknown"
117,"Bunker cave",51.3675,7.6647,184,"yes"
118,"Clearwater cave",4.1,114.8333,120,"yes"
119,"Cueva de Asiul",43.32,-3.59,285,"unknown"
120,"Ejulve cave",40.76,-0.59,1240,"yes"
121,"Entrische Kirche cave",47.16,13.15,2119,"no"
122,"Heshang cave",30.45,110.4167,294,"no"
123,"Milchbach cave",46.6167,8.083,1840,"yes"
124,"Pinnacle cave",35.97,-115.5,1792,"no"
125,"Schafsloch cave ",47.2333,9.3833,1890,"unknown"
126,"Tityana cave",30.6419,77.6521,1470,"no"
127,"Xiaobailong cave",24.2,103.36,1500,"no"
128,"Buckeye creek",37.98,-80.4,600,"unknown"
129,"Grotta di Carburangeli",38.1665,13.1603,22,"yes"
130,"Dandak cave",19,82,400,"no"
131,"Grotta di Ernesto",45.9667,11.65,1167,"yes"
132,"Kleegruben cave",47.08,11.67,2165,"yes"
133,"Buca della Renella",44.08,10.21,300,"yes"
134,"Cave of the Bells",31.75,-110.75,1639,"yes"
135,"Grotte de Piste",33.95,-4.246,1260,"yes"
136,"Juxtlahuaca cave",17.4,-99.2,934,"yes"
137,"Kinderlinskaya cave",54.15,56.85,240,"yes"
138,"Moomi cave",12.55,54.2,400,"no"
139,"Oregon caves national monument",42.0981,-123.4072,1300,"yes"
140,"Sanbao cave",31.667,110.4333,1900,"no"
141,"Sofular cave",41.4167,31.9333,440,"unknown"
142,"Tianmen",30.9167,90.0667,4800,"no"
143,"Cova da Arcoia",42.61,-7.09,1240,"no"
144,"Botuverá cave",-27.2247,-49.1569,180,"yes"
145,"Antro del Corchia",43.9833,10.2167,840,"yes"
146,"Gunung-buda cave (snail shell cave)",4.02,114.48,150,"yes"
147,"Fort Stanton cave",33.5067,-105.4433,1864,"unknown"
148,"Buffalo cave",-24.1428,29.177,1140,"no"
149,"Arch cave",50.55,-127.07,660,"no"
150,"Exhaleair cave",-41.2833,172.633,685,"no"
151,"Guillotine cave",-42.3108,172.2178,130,"unknown"
